	nrooms	meters	floor	floors_total	flat_or_appart	zh_comp	deadline	to_metro	district	area	metro	mainprice	price_per_meter	otdelka	developer
6664	1	49,8	2	18	F	ЖК «Luzhniki Collection»	сдача ГК: 4 кв. 2026 года	15 минут пешком	ЦАО	р-н Хамовники	м. Воробьёвы горы	33471000	672108		Absolute Premium
6665						ЖК «Famous»	сдача ГК: 4 кв. 2023 года	5 минут пешком	ЗАО	р-н Филевский парк	м. Фили	20837134	543908		MR Group
6666						ЖК «Hide»	сдача ГК: 4 кв. 2023 года	3 минуты на транспорте	ЗАО	р-н Раменки	м. Лужники	27882490	627984		MR Group
6667	1	45,7	2	17	A	ЖК «Комплекс апартаментов Slava»	дом сдан	4 минуты пешком	САО	р-н Беговой	м. Белорусская	28845672	631196		MR Group
6668	1	76,6	4	6	F	ЖК «Обыденский №1»	сдача ГК: 1 кв. 2026 года	7 минут на транспорте	ЦАО	р-н Хамовники		186600000	2436031		Sminex-Интеко
6669	1	55,8	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	42587787	763222		Пионер
6670						ЖК «Lucky»	сдача ГК: 1 кв. 2023 года	7 минут пешком	ЦАО	р-н Пресненский	м. Улица 1905 года	55777772	1111111		VESPER
6671	1	57	5	8	F	ЖК «Тессинский, 1»		15 минут пешком	ЦАО	р-н Таганский	м. Китай-город	76494000	1342000		Стрелецкая Слобода
6672						ЖК «AHEAD»	сдача ГК: 4 кв. 2024 года	11 минут пешком	ЗАО	р-н Филевский парк	м. Филёвский парк	36185160	521400		VOSHOD
6673	1	53,17	2	9	A	ЖК «CULT (Апартаменты премиум-класса)»	сдача ГК: 4 кв. 2023 года	1 минута пешком	ЦАО	р-н Якиманка	м. Октябрьская	55090638	1036123		GRAVION
6674						ЖК «PRIDE»		13 минут пешком	СВАО	р-н Марьина роща	м. Савёловская	16106665	500207		Пионер
6675	1	75,3	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	57168738	759213		Пионер
6676						ЖК «SYMPHONY 34»		8 минут пешком	САО	р-н Савеловский	м. Дмитровская	18472662	491033	С отделкой	MR Group
6677	1	52,1	3	3	F			4 минуты пешком	ЦАО	р-н Басманный	м. Китай-город	52000000	998081		ID 413522
6678						ЖК «Republic»	сдача ГК: 4 кв. 2025 года	14 минут пешком	ЦАО	р-н Пресненский	м. Белорусская	29170858	736266		Forma
